origin,location,side,phase_bucket,epv,observations
Lineout,5m-Goal (opp),Centre,2-3,2.397482381571821,102
Lineout,5m-Goal (opp),Centre,4-6,2.629359243808704,197
Lineout,5m-Goal (opp),Centre,7+,2.8124138294328223,292
Lineout,5m-Goal (opp),Right,1,1.8390107003301226,180
Lineout,5m-Goal (opp),Right,2-3,1.894735200600624,68
Lineout,5m-Goal (opp),Right,4-6,1.3611414735179153,31
Lineout,5m-Goal (opp),Right,7+,1.8541399332587811,33
Scrum,Goal-5m (own),Left,1,0.2840930425365709,27
Scrum,Goal-5m (own),Left,2-3,0.5035039714614061,3
Scrum,Goal-5m (own),Left,4-6,0.4925808937406469,2
Scrum,Goal-5m (own),Left,7+,0.6970971215174604,0
Scrum,Goal-5m (own),Centre,1,0.23391019813336728,38
Scrum,Goal-5m (own),Centre,2-3,0.415684644291178,15
Scrum,Goal-5m (own),Centre,4-6,0.5204732733058248,4
Scrum,Goal-5m (own),Centre,7+,0.6970971215174607,0
Scrum,Goal-5m (own),Right,1,0.4147586917758961,17
Scrum,Goal-5m (own),Right,2-3,0.5984892965133962,10
Scrum,Goal-5m (own),Right,4-6,0.5798921800409934,1
Scrum,Goal-5m (own),Right,7+,0.6970971215174606,0
Scrum,5m-22m (own),Left,1,0.14138984893752188,71
Scrum,5m-22m (own),Left,2-3,0.14338203671718888,34
Scrum,5m-22m (own),Left,4-6,0.44475297505625166,4
Scrum,5m-22m (own),Left,7+,0.7058084866533854,1
Scrum,5m-22m (own),Centre,1,0.054058878500910214,118
Scrum,5m-22m (own),Centre,2-3,-0.04431032034428515,67
Scrum,5m-22m (own),Centre,4-6,0.42039417861386874,7
Scrum,5m-22m (own),Centre,7+,0.6116715084257307,1
Scrum,5m-22m (own),Right,1,0.19229871278366126,55
Scrum,5m-22m (own),Right,2-3,0.07597170276734865,31
Scrum,5m-22m (own),Right,4-6,0.5225301447997996,5
Scrum,5m-22m (own),Right,7+,0.6952873088362844,0
